"subject","object","probability"
"john norton oxley","politician","1"
"crayssac","settlement","1"
"bakwa district","administrative region","1"
"oto joseph","boxer","1"
"punta rock","music genre","1"
"2011–12 liberty flames basketball team","national collegiate athletic association team season","1"
"murat ramonov","athlete","1"
"stephen walter rogers","writer","1"
"palda","city","1"
"francis dunnery","musical artist","1"
"wcwa star wars (1987)","wrestling event","1"
"warley county borough f.c.","soccer club","1"
"yangtze high school","school","1"
"yves bonnardel","person","1"
"the beacon academy","school","1"
"eoophyla nigripilosa","insect","1"
"aleksander warma","office holder","1"
"aleksander warma","politician","1"
"moïse plante","office holder","1"
"moïse plante","politician","1"
"vincenzo bianco","military person","1"
"vincenzo bianco","cyclist","1"
"1980 oklahoma state cowboys football team","national collegiate athletic association team season","1"
"parkan-e gishu","village","1"
"prophysa","mollusca","1"
"kosovo offensive (1915)","military conflict","1"
"tom smith (noise musician)","musical artist","1"
"holy child public school","school","1"
"the transgressors","band","1"
"the transgressors","book","1"
"ulmoasa river","river","1"
"indecision (steven page song)","song","1"
"psychomotor agitation","disease","1"
"lost in a hotel (1911 film)","movie","1"
"you walk so softly","movie","1"
"mihai sturzu","office holder","1"
"mihai sturzu","politician","1"
"kulli, harju county","village","1"
"xingu river","river","1"
"tanumafili jungblut","athlete","1"
"brankica mihajlović","volleyball player","1"
"doriopsilla debruini","mollusca","1"
"new manchester, west virginia","village","1"
"delfa ivanić","person","1"
"knight island state park","park","1"
"mehrian, arsanjan","village","1"
"hiland r. hulburd","politician","1"
"zrąb-kolonia","village","1"
"herman verbauwen","swimmer","1"
"megacyllene unicolor","insect","1"
"kovas (musician)","musical artist","1"
"david luiz","soccer player","1"
"beforu iii","album","1"
"the magic pudding","book","1"
"roger gicquel","person","1"
"finite element method","music genre","1"
"anna turney","athlete","1"
"2021 denver broncos season","national football league season","1"
"ivo andrić-lužanski","politician","1"
"dewan nurunnabi","politician","1"
"arthur chen","person","1"
"sue draheim","musical artist","1"
"mario rodríguez (weightlifter)","athlete","1"
"1924 new hampshire gubernatorial election","election","1"
"fritz höhn","military person","1"
"laurent-olivier david","office holder","1"
"laurent-olivier david","politician","1"
"articulate ink","company","1"
"ruby turner live at glastonbury","album","1"
"pádraigín ní uallacháin","musical artist","1"
"braunschweiger verkehrs-ag","company","1"
"baxter arena","venue","1"
"khomeyni shahr county","settlement","1"
"khomeyni shahr county","administrative region","1"
"aquarius dignitus","ship","1"
"kulathupuzha","village","1"
"marquinho (footballer, born 1982)","soccer player","1"
"quzlu, germi","village","1"
"disposability","album","1"
"the most (down to nothing album)","album","1"
"universidade federal do rio de janeiro","university","1"
"2014 patriot league men's soccer tournament","soccer tournoment","1"
"sainte-cécile, indre","settlement","1"
"george harper (rugby union)","rugby player","1"
"sontirat sontijirawong","politician","1"
"kevin scott (canadian football)","soccer player","1"
"ona muraškaitė-račiukaitienė","politician","1"
"jennifer macdonald","artist","1"
"1982 united states senate election in washington","election","1"
"ai no beat","single","1"
"ai no beat","song","1"
"emilíana torrini","musical artist","1"
"blanche ii of navarre","person","1"
"blanche ii of navarre","royalty","1"
"letord","company","1"
"the hillz","movie","1"
"fath (newspaper)","newspaper","1"
"artamanovo","settlement","1"
"james f. stewart","office holder","1"
"james f. stewart","politician","1"
"nancy bonini","scientist","1"
"mun ji-yun","athlete","1"
"red letter year (album)","album","1"
"hugh christie school","school","1"
"personally (p-square song)","single","1"
"personally (p-square song)","song","1"
"khrystyne haje","person","1"
"hoxd4","humangene","1"
"giovanni battista urbani","politician","1"
"bernardo rimarim","cyclist","1"
"bonduel, wisconsin","settlement","1"
"bonduel, wisconsin","village","1"
"sphecosoma besasa","insect","1"
"jorge visintini","soccer player","1"
"tipps end","settlement","1"
"rosewood township, chippewa county, minnesota","town","1"
"church of são pedro (belazaima do chão)","historic building","1"
"old acropolis museum","museum","1"
"ranajor singh thapa","politician","1"
"ogilvie, minnesota","settlement","1"
"ogilvie, minnesota","city","1"
"john nevin schaeffer","person","1"
"1981 bc lions season","national football league season","1"
"usha barthakur","politician","1"
"leah dizon","person","1"
"richard foltz","scientist","1"
"charlottetown airport","airport","1"
"matsuri hino","writer","1"
"matsuri hino","comics creator","1"
"nandome no aozora ka?","single","1"
"nandome no aozora ka?","song","1"
"bill (footballer, born 1978)","soccer player","1"
"jack mcbrayer","person","1"
"1907 princeton tigers football team","national collegiate athletic association team season","1"
"thomas harrison (general)","military person","1"
"tricholita ferrisi","insect","1"
"poopy","musical artist","1"
"boris golovin","musical artist","1"
"sar 109t","weapon","1"
"kunkush kancha","mountain","1"
"the monkey wrench","written work","1"
"galectin-7","humangene","1"
"paracymoriza nigra","insect","1"
"jumana ghunaimat","politician","1"
"qureshi","television show","1"
"bhutan kuen-nyam party","political party","1"
"thomas de vere, 8th earl of oxford","person","1"
"thomas de vere, 8th earl of oxford","noble","1"
"sinking of the ss tanais","ship","1"
"ransom asa moore","scientist","1"
"bénédicte menez","person","1"
"suraiya khanum","musical artist","1"
"ohio state route 296","road","1"
"winter journey (2013 film)","movie","1"
"wyatt hill","place","1"
"dnipropetrovsk oblast","country","1"
"dnipropetrovsk oblast","settlement","1"
"mitochondrial ribosomal protein l23","humangene","1"
"kelly heath","baseball player","1"
"bitch better have my money","single","1"
"bitch better have my money","song","1"
"audaz-class destroyer","ship","1"
"sedoheptulose","chemical compound","1"
"cayoosh pass","mountain pass","1"
"2-(acetamidomethylene)succinate hydrolase","enzyme","1"
"rich karlgaard","writer","1"
"1955 wisła kraków season","soccer club season","1"
"krzyżowa, świdnica county","settlement","1"
"krzyżowa, świdnica county","village","1"
"cady staley","politician","1"
"stuart collection","museum","1"
"margaret taber","person","1"
"nuffield orthopaedic centre","hospital","1"
"hyper sports","video game","1"
"su-ki-da","movie","1"
"tesla, west virginia","settlement","1"
"tesla, west virginia","village","1"
"ola englund","musical artist","1"
"the first sir percy","book","1"
"nabat (film)","movie","1"
"sungard availability services","company","1"
"appserver.io","software","1"
"claes thelander","actor","1"
"dougie fitzell","gaelic games player","1"
"bill knowlton","baseball player","1"
"asim munir (cricketer)","cricketer","1"
"line 3, chongqing rail transit","railway line","1"
"d. j. kane","gaelic games player","1"
"harry mairson","scientist","1"
"donaldson, lufkin & jenrette","company","1"
"hong lake","body of water","1"
"ioannis sismanis","military person","1"
"la sauvetat-du-dropt","settlement","1"
"george sossenko","military person","1"
"boom desjardins","musical artist","1"
"the pioneer (south australia)","newspaper","1"
"rear admiral (united states)","military person","1"
"arthur robinson (civil servant)","person","1"
"lepadichthys","insect","1"
"brianne berkson","person","1"
"germansville, pennsylvania","village","1"
"siirt atatürk stadium","stadium","1"
"siirt atatürk stadium","venue","1"
"the world is rich","movie","1"
"augsburg raid","military conflict","1"
"edward bagshawe (bishop)","christian bishop","1"
"1st engineer battalion (united states)","military unit","1"
"saint-gaultier","settlement","1"
"nitin sharma","cricketer","1"
"kjetil bang-hansen","person","1"
"jago (killer instinct)","fictional character","1"
"federal reserve bank of new york building","building","1"
"ernst wiehle","military person","1"
"bone palace ballet","album","1"
"salt bae","person","1"
"siddhesh wath","cricketer","1"
"property nsw","government agency","1"
"billy squier discography","artist discography","1"
"njoku ji","deity","1"
"teenagent","video game","1"
"gannys","politician","1"
"são josé, paulínia","soccer club","1"
"bernard and huey","movie","1"
"old chief joseph gravesite","building","1"
"patrice barnes","politician","1"
"harrison frazar","golf player","1"
"voskhod 1","artificialsatellite","1"
"voskhod 1","space mission","1"
"andrzej wieckowski","scientist","1"
"robat-e qarah bil","village","1"
"church missionary society college high school","school","1"
"liquid smoke","chemical compound","1"
"mehr eliezer","beauty queen","1"
"johnnie cochran","person","1"
"assumption of mary (doxaras)","artwork","1"
"kitwiru","settlement","1"
"wztc","radio station","1"
"battle of spencer's ordinary","military conflict","1"
"the urology foundation","organisation","1"
"ahmed al-mubarak","soccer player","1"
"a lion walks among us","television episode","1"
"1994–95 mexican primera división season","football league season","1"
"vietnam, long time coming","movie","1"
"hasta que la plata nos separe (2022 tv series)","television show","1"
"monika kørra","person","1"
"maría isabel merlo talavera","person","1"
"r-17 regional road (montenegro)","road","1"
"violaxanthin","chemical compound","1"
"armin guhl","athlete","1"
"gustav von bunge","scientist","1"
"the mess you leave behind","television show","1"
"aris thessaloniki fc","soccer club","1"
"titicut follies","movie","1"
"cory blaser","baseball player","1"
"quihuhu","village","1"
"li jieqiang","athlete","1"
"ray taliaferro","person","1"
"ntc poprad","stadium","1"
"ntc poprad","venue","1"
"chris cheng","person","1"
"shankar shah","royalty","1"
"jeong myeong-o","athlete","1"
"spirochaetes","animal","1"
"yergol","village","1"
"edward tabb house","building","1"
"mexican federal highway 175","road","1"
"raffaëla anderson","adult (pornographic) actor","1"
"pub choir","musical artist","1"
"hruškarje","settlement","1"
"besvica","village","1"
"turning (2012 film)","movie","1"
"jeppo (village)","settlement","1"
"wouter wippert","cyclist","1"
"under mitt tunna skinn","song","1"
"nardenk","food","1"
"allan lockheed","person","1"
"brendan foley","person","1"
"a geography of blood","book","1"
"pedro pagés","baseball player","1"
"shooting at the 1996 summer olympics - men's 25 metre rapid fire pistol","olympic event","1"
"hasag","company","1"
"leningrad people's militia army","military unit","1"
"rafael serra","person","1"
"dalziel high school","school","1"
"henry surtees (mp)","politician","1"
"stade du petit-bois","venue","1"
"rumpin","settlement","1"
"nextstep","software","1"
"mirrors (natalia kills song)","single","1"
"mirrors (natalia kills song)","song","1"
"peter käsbauer","badminton player","1"
"the america ep","album","1"
"4 clowns","movie","1"
"martin luther king jr. park","building","1"
"2008 alaska democratic presidential caucuses","election","1"
"soraya de visch eijbergen","badminton player","1"
"mikawa-toyota station","station","1"
"lima, oklahoma","town","1"
"thaba mokhele","village","1"
"inspired education group","company","1"
"knight's armament company","company","1"
"list of drake & josh episodes","album","1"
"the carolinas","village","1"
"harry chapin discography","artist discography","1"
"nacereddine bacha","soccer player","1"
"wired life","song","1"
"pidakkozhi koovunna noottandu","movie","1"
"songzhu temple","religious building","1"
"amos marsh","american football player","1"
"laetitia aoun","athlete","1"
"who let the dogs out (album)","album","1"
"matthew nudds","philosopher","1"
"1978–79 cupa româniei","soccer tournoment","1"
"johnsontown, new york","settlement","1"
"alexander mutiso","athlete","1"
"eileen shore","scientist","1"
"bernardino realino","saint","1"
"mulgeum station","train station","1"
"cnn international europe/middle east/africa","television station","1"
"cottbus–frankfurt (oder) railway","railway line","1"
"silvano aureoles conejo","politician","1"
"asia society","museum","1"
"flagler county, florida","administrative region","1"
"lake barrine","body of water","1"
"systemsoft alpha","company","1"
"reason studios","company","1"
"cornuscoparia ochracea","insect","1"
"romércio","soccer player","1"
"roiyaan","song","1"
"barbara drummond","politician","1"
"command & conquer: the first decade","video game","1"
"supernova (mr hudson song)","single","1"
"supernova (mr hudson song)","song","1"
"lionel jack dumbleton","entomologist","1"
"in the shadow of saddam","book","1"
"brithdir, powys","settlement","1"
"howes, south dakota","village","1"
"pawleena, tasmania","administrative region","1"
"kyphosinae","insect","1"
"mulugeta bekele","person","1"
"jason donaghy","person","1"
"marco tasca","christian bishop","1"
"russian ship arkhangel gavriil","ship","1"
"rememory","movie","1"
"yarahmadzai tribe","ethnic group","1"
"amor de perdição (1978 film)","movie","1"
"pouilly-en-auxois","settlement","1"
"václav chudomel","athlete","1"
"the adventures of mark twain (1985 film)","movie","1"
"leonard herzenberg","person","1"
"leonard herzenberg","scientist","1"
"john sullivan (vc)","military person","1"
"js baco","soccer club","1"
"bayarsing","town","1"
"matt baker","person","1"
"seedorf, segeberg","settlement","1"
"marissa delgado","person","1"
"f. marian mcneill","writer","1"
"dant, oregon","village","1"
"microregion of borborema potiguar","administrative region","1"
"(a→b) life","album","1"
"ambroise ouédraogo","christian bishop","1"
"the profiteer","movie","1"
"20th battalion, london regiment (blackheath and woolwich)","military unit","1"
"joão de abreu","athlete","1"
"clean head","album","1"
"grézieu-le-marché","settlement","1"
"blaricum","settlement","1"
"blaricum","village","1"
"stefan schwarz","soccer player","1"
"queenstown oval","venue","1"
"ascheberg (westfalen)","settlement","1"
"newton suites","building","1"
"santa fe, havana","settlement","1"
"absolutely (abc album)","album","1"
"deangelo willingham","american football player","1"
"joseph ole lenku","politician","1"
"lonnie eggleston","basketball player","1"
"fc imabari","soccer club","1"
"koszutka","administrative region","1"
"ken reeves (american football)","american football player","1"
"mikael fruelund","handball player","1"
"miloš šobajić","artist","1"
"lau language (malaita)","language","1"
"peterborough railway station","station","1"
"elachista michelseni","insect","1"
"symone (drag queen)","person","1"
"liberal progressive party (spain)","political party","1"
"reynolds (stargate)","person","1"
"his 12 greatest hits","album","1"
"grapevine leafroll-associated virus 3","disease","1"
"bato, camarines sur","settlement","1"
"bekkersdal","settlement","1"
"wagr ai class","train","1"
"nedžad žerić","soccer player","1"
"nedžad žerić","soccer manager","1"
"skoroszowice","village","1"
"meaning in the static","album","1"
"luella costales","politician","1"
"king of jeans","album","1"
"sunderland city council","legislature","1"
"american journal of ophthalmology","academic journal","1"
"sangeet paul choudary","person","1"
"twinstead","settlement","1"
"prince's square","park","1"
"matthew watson (political economist)","person","1"
"lee young-eun","person","1"
"tuek phos (town)","town","1"
"crystal taliefero","musical artist","1"
"särevere","village","1"
"särevere","city district","1"
"charles s. benton","politician","1"
"eulabee dix","artist","1"
"karen lee andrews","musical artist","1"
"w. w. grainger","company","1"
"lindis pass","mountain pass","1"
"university of valle publishing program","publisher","1"
"michael kügler","soccer player","1"
"michael kügler","soccer manager","1"
"neyrang","village","1"
"lahr, bitburg-prüm","settlement","1"
"dineurodes","insect","1"
"piotrowice nyskie","village","1"
"ethan laidlaw","person","1"
"kids of the majestic","movie","1"
"konstantinos thanos","athlete","1"
"dellrose, tennessee","settlement","1"
"dellrose, tennessee","village","1"
"formosa do sul","town","1"
"stefan witkowski","chess player","1"
"gert muller (rugby union, born 1948)","rugby player","1"
"burgynbash","village","1"
"satchi ponnambalam","politician","1"
"metamorfosi, chalkidiki","administrative region","1"
"rocus lamare","soccer player","1"
"e.dams-renault","formula 1 team","1"
"monterey (eric burdon and the animals song)","song","1"
"pachypeza phegea","insect","1"
"beauveria","plant","1"
"aminuddin ponulele","politician","1"
"telecommunications authority of trinidad and tobago","government agency","1"
"peter hide","artist","1"
"2013 erste bank open","tennis tournament","1"
"ccgs cape dauphin","ship","1"
"jim meara","soccer player","1"
"anne-marie marchand","person","1"
"u.s. route 26 in nebraska","road","1"
"svetlana prokopyeva","person","1"
"tallaringa conservation park","administrative region","1"
"air scotland","airline","1"
"ashanti gold s.c.","soccer club","1"
"or1l1","humangene","1"
"list of emmerdale characters (1997)","soap character","1"
"apt. (album)","album","1"
"graeme young","rugby player","1"
"aboubakar koné (footballer, born 1990)","soccer player","1"
"sadabad, rigan","village","1"
"norwegian dakotan","ethnic group","1"
"the annex","settlement","1"
"the annex","city district","1"
"dąbrowa, pabianice county","village","1"
"are u satisfied","album","1"
"lathone collie-minns","athlete","1"
"iford, dorset","settlement","1"
"cashmeran","chemical compound","1"
"lujiazui station","station","1"
"nubuke foundation","museum","1"
"ibm cloud computing","software","1"
"kbaq","radio station","1"
"hasitha boyagoda","cricketer","1"
"margarita popova","office holder","1"
"margarita popova","politician","1"
"vega vio nirwanda","badminton player","1"
"emad el-sayed","soccer player","1"
"ethio-parents' school","school","1"
"elena spirgevičiūtė","saint","1"
"seals & crofts (album)","album","1"
"wiesbaden-nordost","settlement","1"
"dylan ryan (drummer)","musical artist","1"
"dawn (2015 film)","movie","1"
"ala-ud-din bahman shah","royalty","1"
"crosby sisters","band","1"
"by any means (film)","movie","1"
"francis fortescue urquhart","person","1"
"magley, indiana","village","1"
"hms k14","ship","1"
"yang fuyu","scientist","1"
"universum film ag","company","1"
"toltec empire","country","1"
"lick ya down","single","1"
"lick ya down","song","1"
"borzeshabad","village","1"
"arthur smith (comedian)","person","1"
"riptide (2022 tv series)","television show","1"
"dylan borrero","soccer player","1"
"ranilug","village","1"
"wayde van niekerk","athlete","1"
"the path to the nest of spiders","book","1"
"josephine mathias","soccer player","1"
"blue states (band)","band","1"
"blue states (band)","musical artist","1"
"wuhan sports center stadium","stadium","1"
"pikachu","fictional character","1"
"john cummins (canadian politician)","time period","1"
"john cummins (canadian politician)","politician","1"
"jersey city public schools","settlement","1"
"sergeyevka, meleuzovsky district, republic of bashkortostan","village","1"
"muzi yeni","jockey (horse racer)","1"
"jeju people","ethnic group","1"
"bela bach","politician","1"
"goat island (new york)","island","1"
"andy bean","golf player","1"
"1956 yale bulldogs football team","national collegiate athletic association team season","1"
"einsjäger und siebenjäger","album","1"
"metarctia sheljuzhkoi","insect","1"
"incarnate (film)","movie","1"
"seaton delaval railway station","station","1"
"robert paxton (figure skater)","figure skater","1"
"i don't run","album","1"
"lynne hamilton","band","1"
"lynne hamilton","musical artist","1"
"lee philips","person","1"
"g-slide (tour bus)","single","1"
"g-slide (tour bus)","song","1"
"guido de luigi","volleyball player","1"
"united nations mission in nepal","military conflict","1"
"united nations mission in nepal","organisation","1"
"vimbai mutinhiri","person","1"
"huangshan tunxi international airport","airport","1"
"tulus (singer)","band","1"
"tulus (singer)","person","1"
"prasklice","town","1"
"honeymoon lodge","movie","1"
"center for legal assistance to pollution victims","organisation","1"
"grace carley harriman","person","1"
"parapenetretus","insect","1"
"gary bradds","basketball player","1"
"dracius","mythological figure","1"
"the rising (trivium song)","song","1"
"huia (frog)","insect","1"
"companions (album)","album","1"
"annaclone","settlement","1"
"randy marshall","american football player","1"
"massachusetts route 40","road","1"
"the balloonman","television episode","1"
"elliott hudson college","school","1"
"the killing of randy webster","television show","1"
"sabina cvilak","person","1"
"mike road","person","1"
"ttujur, gegharkunik","settlement","1"
"boora","settlement","1"
"kuhran","village","1"
"san bernardo alle terme","historic building","1"
"hilarographa ferox","insect","1"
"lucius d. battle","politician","1"
"ray battle","baseball player","1"
"an interesting story","movie","1"
"vuelve candy b.","horse","1"
"sand hill river","river","1"
"gaighat, ghazipur","village","1"
"2018 king george vi and queen elizabeth stakes","horse race","1"
"sloane square tube station","station","1"
"atresmedia televisión","record label","1"
"muzaffer atac","scientist","1"
"free energy (band)","band","1"
"mohamed al-kafraini","athlete","1"
"lotte chemical titan","company","1"
"christoffer svae","curler","1"
"cbk (am)","radio station","1"
"felix ugo omokhodion","person","1"
"k-1 grand prix '99 final round","mixed martial arts event","1"
"jim luken","politician","1"
"miller grove high school (lithonia, georgia)","school","1"
"tv4 (sweden)","television station","1"
"frank eck stadium","stadium","1"
"david tsimakuridze","athlete","1"
"siege of gdov","military conflict","1"
"argentine dirty war","military conflict","1"
"ballz","video game","1"
"ozzfest 2001: the second millennium","album","1"
"ruth garcês","person","1"
"sovetsky district, novosibirsk","administrative region","1"
"cyclostrema tortuganum","mollusca","1"
"van stephenson","musical artist","1"
"believers (deacon blue album)","album","1"
"kleiner grasbrook","settlement","1"
"192nd ohio infantry regiment","military unit","1"
"phoenix object basic","programming language","1"
"bath county pumped storage station","dam","1"
"jugada","village","1"
"murray heatley","ice hockey player","1"
"telegrafenberg","mountain","1"
"siraha","settlement","1"
"siraha","town","1"
"tianjin south railway station","station","1"
"marjan jahangiri","medician","1"
"escape from the dark","movie","1"
"ninu veedani needanu nene","movie","1"
"herbert duthie","medician","1"
"lower largo","settlement","1"
"white county asylum","building","1"
"nosferatu (fish)","insect","1"
"mojoportal","software","1"
"walter reek","politician","1"
"duval wapiwo","soccer player","1"
"hunting hill","mountain","1"
"talismã (album)","album","1"
"catahecassa (ytb-828)","ship","1"
"omar gooding","person","1"
"tommy blake","american football player","1"
"european institute of women's health","organisation","1"
"arnaldo ochoa","military person","1"
"adnan ahmed (field hockey)","athlete","1"
"little si","mountain","1"
"leo catholic high school","school","1"
"israeli american","country","1"
"gedaya abrahams","cricketer","1"
"helena moreno","office holder","1"
"helena moreno","politician","1"
"markovka","village","1"
"plastic toys","band","1"
"nicholas (duo)","band","1"
"ron watson (politician)","politician","1"
"herbert timms","cricketer","1"
"zsigmondy (crater)","crater","1"
"josh rowbotham","soccer player","1"
"london underground 1996 stock","soccer club","1"
"london underground 1996 stock","train","1"
"temiscaming titans","hockey team","1"
"modoc nation","ethnic group","1"
"friday (rebecca black song)","single","1"
"friday (rebecca black song)","song","1"
"united states postal service office of inspector general","government agency","1"
"1993 avon county council election","election","1"
"jan mulder (footballer)","soccer player","1"
"joy (toni pearen song)","single","1"
"joy (toni pearen song)","song","1"
"r. l. wright","writer","1"
"eugenia cheng","scientist","1"
"tony award for best actress in a play","award","1"
"1987–88 boise state broncos men's basketball team","national collegiate athletic association team season","1"
"asunder (software)","software","1"
"roger winlaw","cricketer","1"
"benji roland","american football player","1"
"koi-256","star","1"
"jaraguá, goiás","town","1"
"mills darden","person","1"
"emre öztürk (footballer, born 1992)","soccer player","1"
"undō-kōen station (gunma)","station","1"
"jeff cunningham","soccer player","1"
"mangaka","person function","1"
"stuart v. laird","supreme court of the united states case","1"
"sisto riario sforza","cardinal","1"
"dlhá","town","1"
"spurr (crater)","crater","1"
"samuel henry drew","person","1"
"st peter's church and monastery, mdina","historic building","1"
"poliksena shishkina-iavein","person","1"
"patcham tunnel","railway tunnel","1"
"anderson lessa","soccer player","1"
"ninxa","organisation","1"
"saard panyawan","athlete","1"
"museo experimental el eco","museum","1"
"richard j. seitz","military person","1"
"she's got you","single","1"
"she's got you","song","1"
"don't toy with me, miss nagatoro","manga","1"
"lampros vangelis","soccer player","1"
"ilhami çene","athlete","1"
"con davey","soccer player","1"
"lpar2","humangene","1"
"morgram railway station","station","1"
"sycophantia","animal","1"
"rzeplin, lesser poland voivodeship","village","1"
"store austanbotntind","mountain","1"
"taylor, arkansas","settlement","1"
"taylor, arkansas","city","1"
"buabad","village","1"
"south african army infantry formation","military unit","1"
"josé luis calva","criminal","1"
"sant'antonio abate, palermo","religious building","1"
"unsalted: a great lakes experience","movie","1"
"grand lake (electoral district)","administrative region","1"
"tun razak exchange mrt station","station","1"
"football dataco","company","1"
"ecolego","software","1"
"2022 european fencing championships","sports event","1"
"miss montana's outstanding teen","organisation","1"
"1984 cachar earthquake","earthquake","1"
"stack's mountain, county kerry","town","1"
"temara melek","person","1"
"samir bajtarević","soccer player","1"
"2020 in konfrontacja sztuk walki","mixed martial arts event","1"
"manny lehman (disc jockey)","person","1"
"ballard's ash","settlement","1"
"büchel air base","airport","1"
"pillaa raa","song","1"
"mladen vukasović","soccer player","1"
"ben chasny","musical artist","1"
"joe cronin","baseball player","1"
"sakou","settlement","1"
"metropolitan–london league","soccer league","1"
"estadio carlos calderón","venue","1"
"2011 in strikeforce","football match","1"
"2011 in strikeforce","mixed martial arts event","1"
"amt automag ii","weapon","1"
"tahir raj bhasin","person","1"
"celestino fernández-villar","scientist","1"
"ford atlas","automobile","1"
"tiawah, oklahoma","settlement","1"
"lufia","television show","1"
"léon scieur","cyclist","1"
"kasymguly babaev","office holder","1"
"kasymguly babaev","politician","1"
"charles krulak","military person","1"
"madonna and child with st. john the baptist and st. mary magdalene","artwork","1"
"pumin station","station","1"
"isadore sparber","person","1"
"roden, bavaria","settlement","1"
"1963 lamar tech cardinals football team","national collegiate athletic association team season","1"
"thomas whitwell","person","1"
"nan'yō, yamagata","city","1"
"hohberg","settlement","1"
"daisuke miyakawa","soccer player","1"
"ljubomir čelebić","tennis player","1"
"esther carlson","person","1"
"reed howes","person","1"
"narlıkuyu","town","1"
"pete oakley","golf player","1"
"azizul baharuddin","soccer player","1"
"harold c. roberts","military person","1"
"ns square","venue","1"
"north bend, pennsylvania","village","1"
"ngc 2608","galaxy","1"
"colin quinn","person","1"
"colin quinn","comedian","1"
"michigan (album)","album","1"
"raudondvaris, riešė","village","1"
"queen myeongseong","royalty","1"
"george furth","person","1"
"ahmad rida huhu","person","1"
"meningoencephalitis","disease","1"
"epimelitta lestradei","insect","1"
"jimpul","weapon","1"
"return of sergeant lapins","movie","1"
"sms novara (1850)","ship","1"
"john hinds (doctor)","medician","1"
"osniel melgarejo","volleyball player","1"
"madipu","movie","1"
"fatoumata (footballer)","soccer player","1"
"apteroleiopus","insect","1"
"cuero commercial historic district","historic place","1"
"the power (2021 indian film)","movie","1"
"uss general m. b. stewart (ap-140)","ship","1"
"igor sláma","cyclist","1"
"blepharophimosis","disease","1"
"dinkey creek (california)","river","1"
"james fairfax","person","1"
"south fork bull run river","river","1"
"weat","radio station","1"
"nieşu river","river","1"
"aga aviation cg-9","aircraft","1"
"marlene neubauer-woerner","person","1"
"mills e. godwin jr.","office holder","1"
"luther (album)","album","1"
"swedish national board of forensic medicine","government agency","1"
"schloss eicks","military structure","1"
"hanishiyeh","village","1"
"roy j. turner","office holder","1"
"roy j. turner","politician","1"
"jason antoon","person","1"
"2013 japanese grand prix","grand prix","1"
"john w. boyle","person","1"
"shannon-williamson ranch","historic place","1"
"strømsgodset i.f.","soccer club","1"
"invisible means","album","1"
"elwood cooke","tennis player","1"
"universal mortar ub m52","weapon","1"
"stara kaźmierka","village","1"
"christoph karl von bülow","military person","1"
"tonisha rock-yaw","netball player","1"
"cornish library","library","1"
"labani, iran","village","1"
"two caravans","book","1"
"tomas lafchis","soccer manager","1"
"kelly poppinga","college coach","1"
"quebec route 218","road","1"
"amblesthidopsis","insect","1"
"sangthang","mountain","1"
"carlos felipe","martial artist","1"
"unnatural exposure","book","1"
"nash bridges","television show","1"
"isuzu giga","automobile","1"
"moranlı, jalilabad","town","1"
"romy kalb-gundermann","person","1"
"uk health security agency","government agency","1"
"novak grebostrek","military person","1"
"eagris nottoana","insect","1"
"jo weidin","boxer","1"
"blue sky riders","band","1"
"stark, arizona","populated place","1"
"asian youth athletics championships","convention","1"
"bliecos","town","1"
"micky fenton (jockey)","jockey (horse racer)","1"
"jabbar, razavi khorasan","village","1"
"roberto lópez suárez","person","1"
"special herbs, vol. 1","album","1"
"cinguloterebra","insect","1"
"cinguloterebra","mollusca","1"
"madrid-málaga high-speed rail line","railway line","1"
"frank juhan","american football player","1"
"aq interactive","company","1"
"aradhana (1976 film)","movie","1"
"1935 western kentucky state teachers hilltoppers football team","national collegiate athletic association team season","1"
"konami soga","skater","1"
"yumie funayama","curler","1"
"garn stephens","person","1"
"john minor wisdom united states court of appeals building","building","1"
"1968 new york jets season","national football league season","1"
"italian naval aviation","military unit","1"
"kathleen brown","office holder","1"
"kathleen brown","politician","1"
"line f (buenos aires underground)","railway line","1"
"megelli motorcycles","company","1"
"who are you (the who song)","song","1"
"the cheaters (1930 film)","movie","1"
"longa island","island","1"
"hardy downtown historic district","historic place","1"
"in the name of suffering","album","1"
"great notch station","station","1"
"andre jones and freddie tiller","criminal","1"
"oberaarjoch","mountain pass","1"
"persepolis f.c. academy","soccer club","1"
"lina nielsen","athlete","1"
"batman: the caped crusader","video game","1"
"tony henry (footballer, born 1979)","soccer player","1"
"1989 virginia slims of albuquerque","tennis tournament","1"
"celebration (1979 celebration album)","album","1"
"arthur rawdon","person","1"
"1976–77 liverpool f.c. season","office holder","1"
"1976–77 liverpool f.c. season","soccer club season","1"
"ebenezer, camp county, texas","village","1"
"fort osage high school","school","1"
"super sun","album","1"
"x lovers","band","1"
"jasmine (song)","song","1"
"valerio festi","person","1"
"beovoz","public transit system","1"
"ab tajul islam","politician","1"
"marsh–place building","building","1"
"trevor harley","person","1"
"william potter (cricketer, born 1799)","person","1"
"felicia kentridge","person","1"
"slns parakrama","military structure","1"
"katsuki sakagami","athlete","1"
"alex leake","soccer player","1"
"paczyna","village","1"
"mills of the gods","movie","1"
"95th pennsylvania volunteer infantry","military unit","1"
"point purvis","place","1"
"up on high","album","1"
"subscapularis muscle","anatomical structure","1"
"subscapularis muscle","muscle","1"
"harry bartell","person","1"
"tetsuya kokubo","baseball player","1"
"athens, georgia: over/under","movie","1"
"bord na mona with nature novice chase","horse race","1"
